place,link,rating,city,category,fee,alamat,deskripsi
Taman Rampal,https://www.google.com/maps/place/Taman+Rampal/data=!4m7!3m6!1s0x2dd62964de7ea6f3:0xe72cf158f387f4f7!8m2!3d-7.9740814!4d112.641804!16s%2Fg%2F11y3d9n_ty!19sChIJ86Z-3mQp1i0R9_SH81jxLOc?authuser=0&hl=id&rclk=1,"4,4",Malang,"Anak, Wahana",10000,"Jl. Panglima Sudirman No.64, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65124, Indonesia",Taman Rampal
Trans Studio Mini MX Mall Malang,https://www.google.com/maps/place/Trans+Studio+Mini+MX+Mall+Malang/data=!4m7!3m6!1s0x2e7883fdac71a791:0x9ff9baa01ad9690!8m2!3d-7.9568145!4d112.6177803!16s%2Fg%2F11gybl1s_c!19sChIJkadxrP2DeC4RkJatAaqb_wk?authuser=0&hl=id&rclk=1,"4,5",Malang,Wisata Bermain,60000,"Transmart MX Malang, Jl. Veteran No.8 lantai F4, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113, Indonesia",Trans Studio Mini MX Mall Malang
Graha Tumapel,https://www.google.com/maps/place/Graha+Tumapel/data=!4m7!3m6!1s0x2dd6283cc6b75d69:0xe48c45bdf49dc5ad!8m2!3d-7.9782186!4d112.6327729!16s%2Fg%2F11clswz_t2!19sChIJaV23xjwo1i0RrcWd9L1FjOQ?authuser=0&hl=id&rclk=1,"4,3",Malang,Sejarah,5000,"Jalan Tumapel No.1, Kiduldalem, Klojen, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",Wisma Tumapel
"Alam ""SUMBER GENTONG""",https://www.google.com/maps/place/Wisata+Alam+%22SUMBER+GENTONG%22/data=!4m7!3m6!1s0x2dd62989be00b9b1:0x12713287421cf09b!8m2!3d-7.9442783!4d112.6734667!16s%2Fg%2F11scfpl04h!19sChIJsbkAvokp1i0Rm_AcQocycRI?authuser=0&hl=id&rclk=1,"4,3",Malang,Alam,5000,,
Everland Malang,https://www.google.com/maps/place/Everland+Malang/data=!4m7!3m6!1s0x2dd629aa97b8406d:0x9e677c51207736b4!8m2!3d-7.9817461!4d112.5211043!16s%2Fg%2F11vkbszybb!19sChIJbUC4l6op1i0RtDZ3IFF8Z54?authuser=0&hl=id&rclk=1,"4,5",Malang,"Anak, Wahana",20000,"Jl. Raya Coban Glothak, Area Hutan, Dalisodo, Kec. Wagir, Kabupaten Malang, Jawa Timur 65158, Indonesia",Everland Malang
Kampoeng Heritage Kajoetangan,https://www.google.com/maps/place/Kampoeng+Heritage+Kajoetangan/data=!4m7!3m6!1s0x2dd6292a5fa96abd:0x4c4114e495f92910!8m2!3d-7.9789771!4d112.6293516!16s%2Fg%2F11gh72kzgv!19sChIJvWqpXyop1i0RECn5leQUQUw?authuser=0&hl=id&rclk=1,"4,6",Malang,Sejarah,5000,"Jl. Jenderal Bauki Rahmat Gg. 4, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",Kajoetangan Heritage Village
Wisata bulak lopawon ꦮꦲꦤꦧꦸꦭꦏ꧀ꦭꦺꦴꦥꦮꦺꦴꦤ꧀,https://www.google.com/maps/place/Wisata+bulak+lopawon+%EA%A6%AE%EA%A6%B2%EA%A6%A4%EA%A6%A7%EA%A6%B8%EA%A6%AD%EA%A6%8F%EA%A7%80%EA%A6%AD%EA%A6%BA%EA%A6%B4%EA%A6%A5%EA%A6%AE%EA%A6%BA%EA%A6%B4%EA%A6%A4%EA%A7%80/data=!4m7!3m6!1s0x2e789b42a67982b9:0x31e2ae625c7246ec!8m2!3d-8.0461224!4d112.5092177!16s%2Fg%2F11h555c23z!19sChIJuYJ5pkKbeC4R7EZyXGKu4jE?authuser=0&hl=id&rclk=1,"4,5",Malang,"Ekstrem, Wahana",0,,
Predator Fun Park Batu,https://www.google.com/maps/place/Predator+Fun+Park+Batu/data=!4m7!3m6!1s0x2e7881429e90d651:0x9a1524cafe5eac51!8m2!3d-7.9126157!4d112.5486296!16s%2Fg%2F11b808yyrq!19sChIJUdaQnkKBeC4RUaxe_sokFZo?authuser=0&hl=id&rclk=1,"4,4",Malang,"Anak, Wahana",30000,"Jl. Raya Tlekung No.315, Tlekung, Kec. Junrejo, Kota Batu, Jawa Timur 65327, Indonesia",Predator Fun Park
Monumen Juang,https://www.google.com/maps/place/Monumen+Juang/data=!4m7!3m6!1s0x2dd6283c65fd405f:0xa3606d5c192e7d11!8m2!3d-7.9775531!4d112.636329!16s%2Fg%2F1pzywnpbh!19sChIJX0D9ZTwo1i0REX0uGVxtYKM?authuser=0&hl=id&rclk=1,"4,3",Malang,Sejarah,0,"2JCP+XGG, Jl. Kertanegara, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",Monumen Juang 45
The Bagong Adventure Museum Tubuh,https://www.google.com/maps/place/The+Bagong+Adventure+Museum+Tubuh/data=!4m7!3m6!1s0x2e7880d4d63fb6c7:0xe5ff5a3494431545!8m2!3d-7.8834283!4d112.5250274!16s%2Fg%2F11b701fmgr!19sChIJx7Y_1tSAeC4RRRVDlDRa_-U?authuser=0&hl=id&rclk=1,"4,6",Malang,"Edukasi, Anak",130000,"Jl. Kartika No.2, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314, Indonesia",The Bagong Adventure Museum Tubuh
Dino Park Jawa Timur Park 3,https://www.google.com/maps/place/Dino+Park+Jawa+Timur+Park+3/data=!4m7!3m6!1s0x2e7881111b1b2283:0xc4550727c318bf80!8m2!3d-7.897906!4d112.554027!16s%2Fg%2F11f5h88630!19sChIJgyIbGxGBeC4RgL8YwycHVcQ?authuser=0&hl=id&rclk=1,"4,6",Malang,Wisata Bermain,138600,"Jl. Ir. Soekarno No.112, Beji, Kec. Junrejo, Kota Batu, Jawa Timur 65236, Indonesia",Dino Park Jawa Timur Park 3
Wisata Agro Petik Jeruk,https://www.google.com/maps/place/Wisata+Agro+Petik+Jeruk/data=!4m7!3m6!1s0x2e7883ef245175cf:0x3959aad006692d08!8m2!3d-7.9390977!4d112.5538888!16s%2Fg%2F11b7ll_8jb!19sChIJz3VRJO-DeC4RCC1pBtCqWTk?authuser=0&hl=id&rclk=1,"4,4",Malang,"Edukasi, Anak",25000,"Jl. Watu Gede, RT.01/RW.01, Selorejo, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia",Wisata Petik Jeruk
Pentungan Sari Waterpark,https://www.google.com/maps/place/Pentungan+Sari+Waterpark/data=!4m7!3m6!1s0x2dd62b376c544293:0xe2576574b67e5b2b!8m2!3d-7.8522273!4d112.6583238!16s%2Fg%2F11rg9d12ny!19sChIJk0JUbDcr1i0RK1t-tnRlV-I?authuser=0&hl=id&rclk=1,"4,5",Malang,"Air, Wahana, Anak",8000,"Petung Wulung, Toyomarto, Singosari, Malang Regency, East Java 65153, Indonesia",Pentungan Sari Waterpark
Kusuma Waterpark,https://www.google.com/maps/place/Kusuma+Waterpark/data=!4m7!3m6!1s0x2e788728cdf6c7d7:0x8a6621366eee411c!8m2!3d-7.8816345!4d112.5148178!16s%2Fg%2F11cmzzb4ms!19sChIJ18f2zSiHeC4RHEHubjYhZoo?authuser=0&hl=id&rclk=1,"4,3",Malang,"Air, Wahana, Anak",15000,"Kawasan Wisata Kusuma Agro, Jl. Abdul Gani Atas, Ngaglik, Kec. Batu, Kota Batu, Jawa Timur 65311, Indonesia",Kusuma Waterpark
Jungle Adventure,https://www.google.com/maps/place/Jungle+Adventure/data=!4m7!3m6!1s0x2e78812b00afbb6f:0xc90bd6b91f4b7def!8m2!3d-7.888776!4d112.527451!16s%2Fg%2F11b6x5pkdr!19sChIJb7uvACuBeC4R731LH7nWC8k?authuser=0&hl=id&rclk=1,"4,5",Malang,Wisata Bermain,95000,"916 D St, Omaha, NE 68107, United States",Lied Jungle
"Air, Wahana, Anak MADYOPURO",https://www.google.com/maps/place/WISATA+AIR+MADYOPURO/data=!4m7!3m6!1s0x2dd629114434cae9:0x9ea284e6eeb0d593!8m2!3d-7.9767907!4d112.6777845!16s%2Fg%2F11r_cj9jy9!19sChIJ6co0RBEp1i0Rk9Ww7uaEop4?authuser=0&hl=id&rclk=1,5,Malang,"Air, Wahana, Anak",25000,"Jl. Raya Cemorokandang No.20, Madyopuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",WISATA AIR MADYOPURO
Tlogo Land,https://www.google.com/maps/place/Tlogo+Land/data=!4m7!3m6!1s0x2dd7d4cfa226181b:0x73416cb11614786c!8m2!3d-7.8272887!4d112.6810779!16s%2Fg%2F11g9q_8tjl!19sChIJGxgmos_U1y0RbHgUFrFsQXM?authuser=0&hl=id&rclk=1,"4,3",Malang,Healing,10000,"Jl. Telogorejo, RT.01/RW.11, Wonorejo, Lawang, Tlogorejo, Wonorejo, Kec. Lawang, Kabupaten Malang, Jawa Timur 65216, Indonesia",Tlogo Land
Wisata Petik Apel Agro Rakyat,https://www.google.com/maps/place/Wisata+Petik+Apel+Agro+Rakyat/data=!4m7!3m6!1s0x2e7880acfec7d1fb:0x1ed0e61a0ba01576!8m2!3d-7.852853!4d112.5272207!16s%2Fg%2F11b6x4c6bs!19sChIJ-9HH_qyAeC4RdhWgCxrm0B4?authuser=0&hl=id&rclk=1,"4,2",Malang,"Edukasi, Anak",25000,"Jl. Raya Sidomulyo, Sidomulyo, Kec. Batu, Kota Batu, Jawa Timur 65317, Indonesia",Agro Rakyat Apple Picking Tourism
Wisata Berkuda dan Kolam Renang,https://www.google.com/maps/place/Wisata+Berkuda+dan+Kolam+Renang/data=!4m7!3m6!1s0x2dd62bfdef4eefd5:0xa1bb07711f7e3c24!8m2!3d-7.9001373!4d112.6272034!16s%2Fg%2F11q2q_5ls8!19sChIJ1e9O7_0r1i0RJDx-H3EHu6E?authuser=0&hl=id&rclk=1,"4,9",Malang,"Air, Wahana, Anak",20000,"3JXG+WVW, Jl. Singo Joyo, Mojosari, Ngenep, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152, Indonesia",Wisata Berkuda dan Kolam Renang
De Rumah Playground,https://www.google.com/maps/place/De+Rumah+Playground/data=!4m7!3m6!1s0x2dd629d5f72fcaef:0xc0d85d94ea34796a!8m2!3d-7.9581165!4d112.6203085!16s%2Fg%2F1hm5w29fl!19sChIJ78ov99Up1i0Rank06pRd2MA?authuser=0&hl=id&rclk=1,"4,3",Malang,"Air, Wahana, Anak",18000,"Jl. Veteran No.2, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113, Indonesia",De Rumah Playground
Pura Luhur Uluwatu,https://www.google.com/maps/place/Pura+Luhur+Uluwatu/data=!4m7!3m6!1s0x2dd24ffc20cb8191:0xcb98d1ba7db0495!8m2!3d-8.8291432!4d115.0849069!16zL20vMGRuNWp4!19sChIJkYHLIPxP0i0RlQTbpxuNuQw?authuser=0&hl=id&rclk=1,"4,6",Bali,Sejarah,150000,"Pecatu, South Kuta, Badung Regency, Bali, Indonesia",Uluwatu Temple
Uluwatu Beach,https://www.google.com/maps/place/Uluwatu+Beach/data=!4m7!3m6!1s0x2dd24ff8f20d45e5:0x722da54fecf59904!8m2!3d-8.8149106!4d115.088389!16s%2Fg%2F11g9t3lb7t!19sChIJ5UUN8vhP0i0RBJn17E-lLXI?authuser=0&hl=id&rclk=1,"4,7",Bali,Pantai,30000,"Uluwatu Beach, Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",Uluwatu Beach
Karang Boma Cliff,https://www.google.com/maps/place/Karang+Boma+Cliff/data=!4m7!3m6!1s0x2dd2500bfc06ef09:0xb5e356ec177894d0!8m2!3d-8.8345366!4d115.0877251!16s%2Fg%2F11gbf9msfv!19sChIJCe8G_AtQ0i0R0JR4F-xW47U?authuser=0&hl=id&rclk=1,"4,6",Bali,Alam,0,"Unnamed Road, Pecatu, South Kuta, Badung Regency, Bali, Indonesia",Karang Boma Cliff
Pantai Suluban,https://www.google.com/maps/place/Pantai+Suluban/data=!4m7!3m6!1s0x2dd24ffeaa305bf9:0x6b7922fbf1aea067!8m2!3d-8.8160171!4d115.0882875!16s%2Fg%2F11cr_vvn_h!19sChIJ-Vswqv5P0i0RZ6Cu8fsieWs?authuser=0&hl=id&rclk=1,"4,6",Bali,Pantai,5000,"Suluban Beach, Bali, Indonesia",Suluban Beach
Tari Kecak & Api Uluwatu,https://www.google.com/maps/place/Tari+Kecak+%26+Api+Uluwatu/data=!4m7!3m6!1s0x2dd2500503808f13:0x34326abe297b8d24!8m2!3d-8.8305729!4d115.0854093!16s%2Fg%2F1hdz_3_b_!19sChIJE4-AAwVQ0i0RJI17Kb5qMjQ?authuser=0&hl=id&rclk=1,"4,6",Bali,Budaya,150000,,
Uluwatu Cottages,https://www.google.com/maps/place/Uluwatu+Cottages/data=!4m10!3m9!1s0x2dd24ff8e9f4b6cd:0xad2307ca1d7bd951!5m2!4m1!1i2!8m2!3d-8.814393!4d115.092173!16s%2Fg%2F11bbrh7yv9!19sChIJzbb06fhP0i0RUdl7HcoHI60?authuser=0&hl=id&rclk=1,"4,6",Bali,Healing,1293755,"Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",Uluwatu Cottages
Pantai Nyang Nyang,https://www.google.com/maps/place/Pantai+Nyang+Nyang/data=!4m7!3m6!1s0x2dd251538fac15a9:0x24b43489a286db66!8m2!3d-8.8391636!4d115.0934172!16s%2Fg%2F11qh935xvb!19sChIJqRWsj1NR0i0RZtuGook0tCQ?authuser=0&hl=id&rclk=1,"4,7",Bali,Pantai,0,"Nyang Nyang Beach, Jl. Raya Uluwatu Pecatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Nyang Nyang Beach
Taman Budaya Garuda Wisnu Kencana,https://www.google.com/maps/place/Taman+Budaya+Garuda+Wisnu+Kencana/data=!4m7!3m6!1s0x2dd244cf54e1dec7:0x1988663e064f5a51!8m2!3d-8.8104228!4d115.1675986!16zL20vMGRyenpx!19sChIJx97hVM9E0i0RUVpPBj5miBk?authuser=0&hl=id&rclk=1,"4,5",Bali,Budaya,200000,"Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364, Indonesia",Garuda Wisnu Kencana Cultural Park
Balangan Beach,https://www.google.com/maps/place/Balangan+Beach/data=!4m7!3m6!1s0x2dd2458cd2f032fd:0x6d1803dc2417aa2a!8m2!3d-8.7910968!4d115.1243377!16s%2Fg%2F11grss175g!19sChIJ_TLw0oxF0i0RKqoXJNwDGG0?authuser=0&hl=id&rclk=1,"4,6",Bali,Pantai,0,"Balangan Beach, South Kuta, Badung Regency, Bali, Indonesia",Balangan Beach
Happy sunset batujaran,https://www.google.com/maps/place/Happy+sunset+batujaran/data=!4m7!3m6!1s0x2dd2511309db92a9:0x21a15ac7b7ea9f2e!8m2!3d-8.8247548!4d115.0841699!16s%2Fg%2F11rg_j6qfv!19sChIJqZLbCRNR0i0RLp_qt8daoSE?authuser=0&hl=id&rclk=1,"4,8",Bali,Alam,8000,"Jl. Batu Jaran, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Happy sunset batujaran
Pura Geger Beach,https://www.google.com/maps/place/Pura+Geger+Beach/data=!4m7!3m6!1s0x2dd25ccfdf2bbe1f:0x27ad3d7e47072359!8m2!3d-8.819863!4d115.223829!16s%2Fg%2F11cm_pt96n!19sChIJH74r389c0i0RWSMHR349rSc?authuser=0&hl=id&rclk=1,"4,7",Bali,Pantai,5000,"Benoa, South Kuta, Badung Regency, Bali, Indonesia",Pura Geger Beach
Jaran Hill,https://www.google.com/maps/place/Jaran+Hill/data=!4m10!3m9!1s0x2dd25002559594d7:0x9979076c84736720!5m2!4m1!1i2!8m2!3d-8.8239322!4d115.0851908!16s%2Fg%2F11gbtz0k0n!19sChIJ15SVVQJQ0i0RIGdzhGwHeZk?authuser=0&hl=id&rclk=1,"4,7",Bali,Alam,0,"53GP+C3G, Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",Jaran Hill
Puri Uluwatu Villas,https://www.google.com/maps/place/Puri+Uluwatu+Villas/data=!4m10!3m9!1s0x2dd24ffebe892cdd:0xb7a1edced2ee4c50!5m2!4m1!1i2!8m2!3d-8.817206!4d115.09!16s%2Fg%2F11xy2k5fn!19sChIJ3SyJvv5P0i0RUEzu0s7tobc?authuser=0&hl=id&rclk=1,"4,3",Bali,Healing,1100000,"Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",Puri Uluwatu Villas
Sunset Point Pantai Cemongkak,https://www.google.com/maps/place/Sunset+Point+Pantai+Cemongkak/data=!4m7!3m6!1s0x2dd2450b642e1499:0xb4f5ac933c2b8dc5!8m2!3d-8.8030645!4d115.1167497!16s%2Fg%2F11rwmn3hsm!19sChIJmRQuZAtF0i0RxY0rPJOs9bQ?authuser=0&hl=id&rclk=1,"4,5",Bali,Alam,0,"54W8+QMH, Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Sunset Point Pantai Cemongkak
Pantai Melasti Ungasan,https://www.google.com/maps/place/Pantai+Melasti+Ungasan/data=!4m7!3m6!1s0x2dd25b937f74a77f:0xd7fc41e66544fbab!8m2!3d-8.8477419!4d115.1606704!16s%2Fg%2F11kxmz2m5x!19sChIJf6d0f5Nb0i0Rq_tEZeZB_Nc?authuser=0&hl=id&rclk=1,"4,8",Bali,Pantai,10000,"Indonesia, Bali, Badung Regency, South Kuta, Ungasan, Unnamed Road",Melasti Beach Ungasan
Uluwatu Handmade Balinese Lace - Ubud,https://www.google.com/maps/place/Uluwatu+Handmade+Balinese+Lace+-+Ubud/data=!4m7!3m6!1s0x2dd23d6d4e8a53cf:0xfdced523b3b387d9!8m2!3d-8.5147599!4d115.2605029!16s%2Fg%2F1hm40yz4n!19sChIJz1OKTm090i0R2YezsyPVzv0?authuser=0&hl=id&rclk=1,"4,3",Bali,"Edukasi, Anak",135000,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Uluwatu Handmade Balinese Lace - Ubud
Dreamland Beach,https://www.google.com/maps/place/Dreamland+Beach/data=!4m7!3m6!1s0x2dd2451ae55527e5:0x93773bcb87a92759!8m2!3d-8.7993192!4d115.1177659!16s%2Fg%2F1pzwcdgpd!19sChIJ5SdV5RpF0i0RWSeph8s7d5M?authuser=0&hl=id&rclk=1,"4,4",Bali,Pantai,0,"Dreamland Beach, Bali, Indonesia",Dreamland Beach
Honeymoon Beach,https://www.google.com/maps/place/Honeymoon+Beach/data=!4m7!3m6!1s0x2dd2458434c8f4e7:0xac40c46224f0a0cf!8m2!3d-8.7797921!4d115.1439473!16s%2Fg%2F11h5mxqs27!19sChIJ5_TINIRF0i0Rz6DwJGLEQKw?authuser=0&hl=id&rclk=1,"4,4",Bali,Pantai,0,"Honeymoon Beach, Salomon Bay Rd, Caneel Bay, St John 00830, U.S. Virgin Islands",Honeymoon Beach
Ubud Palace,https://www.google.com/maps/place/Ubud+Palace/data=!4m7!3m6!1s0x2dd23d6af37eb24b:0x4bcdf69a281c3f32!8m2!3d-8.5065977!4d115.2625884!16s%2Fm%2F012nzpgj!19sChIJS7J-82o90i0RMj8cKJr2zUs?authuser=0&hl=id&rclk=1,"4,3",Bali,Sejarah,0,"Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud Palace
Ubud Water Palace,https://www.google.com/maps/place/Ubud+Water+Palace/data=!4m7!3m6!1s0x2dd23d411d3f6979:0x2c31a9295b1ad82e!8m2!3d-8.5063413!4d115.2613023!16s%2Fg%2F11cn5r2r1l!19sChIJeWk_HUE90i0RLtgaWympMSw?authuser=0&hl=id&rclk=1,"3,8",Bali,Sejarah,65000,"Jl. Suweta No.6, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud Water Palace
Mandala Suci Wenara Wana,https://www.google.com/maps/place/Mandala+Suci+Wenara+Wana/data=!4m7!3m6!1s0x2dd23d43f6189b67:0xb6ec43164befc356!8m2!3d-8.5193727!4d115.2606299!16s%2Fm%2F03wc0td!19sChIJZ5sY9kM90i0RVsPvSxZD7LY?authuser=0&hl=id&rclk=1,"4,5",Bali,Alam,80000,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Sacred Monkey Forest Sanctuary
Campuhan Ridge Walk,https://www.google.com/maps/place/Campuhan+Ridge+Walk/data=!4m7!3m6!1s0x2dd23d6bcaf473f5:0x7c13fd74aa1bc49f!8m2!3d-8.5035806!4d115.2547579!16s%2Fg%2F11bv_dhkhx!19sChIJ9XP0yms90i0Rn8QbqnT9E3w?authuser=0&hl=id&rclk=1,"4,3",Bali,Alam,0,"Kelusa, Payangan, Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Campuhan Ridge Walk
Kajeng Rice Field,https://www.google.com/maps/place/Kajeng+Rice+Field/data=!4m7!3m6!1s0x2dd23d40cbe6a8f1:0x41187abccf9339c9!8m2!3d-8.5006232!4d115.2618325!16s%2Fg%2F11f03yg9rp!19sChIJ8ajmy0A90i0RyTmTz7x6GEE?authuser=0&hl=id&rclk=1,"4,6",Bali,Alam,0,"Jl. Kajeng No.88, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Kajeng Rice Field
Puri Saren Agung Ubud ( Puri Saren Ubud ),https://www.google.com/maps/place/Puri+Saren+Agung+Ubud+%28+Puri+Saren+Ubud+%29/data=!4m7!3m6!1s0x2dd23d617c412e6b:0x88a74b0a1be34e30!8m2!3d-8.5067194!4d115.2627222!16s%2Fg%2F11k9l71k6v!19sChIJay5BfGE90i0RME7jGwpLp4g?authuser=0&hl=id&rclk=1,"4,5",Bali,Sejarah,0,"Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Puri Saren Agung Ubud ( Puri Saren Ubud )
Rice Fields Walk,https://www.google.com/maps/place/Rice+Fields+Walk/data=!4m7!3m6!1s0x2dd23d0617cdc88b:0x299ad9a837b14d1e!8m2!3d-8.4949388!4d115.2475037!16s%2Fg%2F11sd055s3l!19sChIJi8jNFwY90i0RHk2xN6jZmik?authuser=0&hl=id&rclk=1,"4,8",Bali,Alam,10000,"G64X+22C, Jl. Penestanan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Rice Fields Walk
Desa Kokokan,https://www.google.com/maps/place/Desa+Kokokan/data=!4m7!3m6!1s0x2dd222aea4a44927:0x9399d01ca97837d1!8m2!3d-8.4784385!4d115.2765648!16s%2Fg%2F11bx51hfcf!19sChIJJ0mkpK4i0i0R0Td4qRzQmZM?authuser=0&hl=id&rclk=1,"4,3",Bali,Alam,50000,"Petulu, Ubud, Gianyar Regency, Bali 80561, Indonesia",Petulu Heron Bird Colony Watch Point
Pura Gunung Lebah ᬧᬸᬭ​ᬕᬸᬦᬸᬂ​ᬮ᭄ᬮᭂᬩᬄ᭟​,https://www.google.com/maps/place/Pura+Gunung+Lebah+%E1%AC%A7%E1%AC%B8%E1%AC%AD%E2%80%8B%E1%AC%95%E1%AC%B8%E1%AC%A6%E1%AC%B8%E1%AC%82%E2%80%8B%E1%AC%AE%E1%AD%84%E1%AC%AE%E1%AD%82%E1%AC%A9%E1%AC%84%E1%AD%9F%E2%80%8B/data=!4m7!3m6!1s0x2dd23d3e0ac72a05:0x979a345a4910105c!8m2!3d-8.5040282!4d115.2546199!16s%2Fg%2F12hqs2lml!19sChIJBSrHCj490i0RXBAQSVo0mpc?authuser=0&hl=id&rclk=1,"4,4",Bali,Sejarah,0,,
Pura Dalem Ubud,https://www.google.com/maps/place/Pura+Dalem+Ubud/data=!4m7!3m6!1s0x2dd23d3fe9bed437:0x47bd64e6903f6f9d!8m2!3d-8.5051334!4d115.2582991!16s%2Fg%2F11cjj16t7y!19sChIJN9S-6T890i0RnW8_kOZkvUc?authuser=0&hl=id&rclk=1,"4,5",Bali,Sejarah,0,"Jl. Raya Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Pura Dalem Ubud
Museum Puri Lukisan,https://www.google.com/maps/place/Museum+Puri+Lukisan/data=!4m7!3m6!1s0x2dd23d6aac844e31:0x1cf8abb996ec8402!8m2!3d-8.5052428!4d115.2603706!16s%2Fm%2F053p5q2!19sChIJMU6ErGo90i0RAoTslrmr-Bw?authuser=0&hl=id&rclk=1,"4,3",Bali,"Edukasi, Anak",85000,"Ubud, Gianyar Regency, Bali 80571, Indonesia",Museum Puri Lukisan
Bali Bird Walks,https://www.google.com/maps/place/Bali+Bird+Walks/data=!4m7!3m6!1s0x2dd23d157b4b36f5:0xdc0fb83d33356612!8m2!3d-8.5081572!4d115.2477457!16s%2Fg%2F1pzr95_hv!19sChIJ9TZLexU90i0REmY1Mz24D9w?authuser=0&hl=id&rclk=1,"4,6",Bali,"Edukasi, Anak",140000,"F6RX+P3Q, Jl. Penestanan Kelod, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali Bird Walks
Bukit Campuhan,https://www.google.com/maps/place/Bukit+Campuhan/data=!4m7!3m6!1s0x2dd23d3968fd1da5:0x90fb03bfae62a888!8m2!3d-8.4993467!4d115.2550384!16s%2Fg%2F11bv29z2x5!19sChIJpR39aDk90i0RiKhirr8D-5A?authuser=0&hl=id&rclk=1,"4,5",Bali,Alam,0,"Jl. Bangkiang Sidem, Kelusa, Kec. Payangan, Kabupaten Gianyar, Bali 80571, Indonesia",Bukit Campuhan
Museum Seni Agung Rai,https://www.google.com/maps/place/Museum+Seni+Agung+Rai/data=!4m7!3m6!1s0x2dd23d744d46d9c3:0x17defd93d73ad638!8m2!3d-8.5228143!4d115.2637566!16s%2Fm%2F05b4w_7!19sChIJw9lGTXQ90i0RONY615P93hc?authuser=0&hl=id&rclk=1,"4,5",Bali,"Edukasi, Anak",100000,"Jl. Raya Pengosekan Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Agung Rai Museum of Art
Pasar Seni Ubud,https://www.google.com/maps/place/Pasar+Seni+Ubud/data=!4m7!3m6!1s0x2dd23de2db450aa1:0x409d0777de9a0ded!8m2!3d-8.5071639!4d115.2629725!16s%2Fg%2F11f9xyq28w!19sChIJoQpF2-I90i0R7Q2a3ncHnUA?authuser=0&hl=id&rclk=1,"4,1",Bali,Kuliner,0,"Jl. Raya Ubud No.35, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud Art Market
Bali Ubud Tour,https://www.google.com/maps/place/Bali+Ubud+Tour/data=!4m7!3m6!1s0x2dd23d4684322145:0x4dd83228d07f5f5e!8m2!3d-8.499041!4d115.265079!16s%2Fg%2F11bwnxx8v9!19sChIJRSEyhEY90i0RXl9_0Cgy2E0?authuser=0&hl=id&rclk=1,"4,9",Bali,"Edukasi, Anak",2975000,"Jl. Suweta No.50, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali Ubud Tour
Ubud Unique Tour,https://www.google.com/maps/place/Ubud+Unique+Tour/data=!4m7!3m6!1s0x2dd23d6d37c6e44d:0x7386c8c1c31027e0!8m2!3d-8.5138943!4d115.2607152!16s%2Fg%2F1hm3flfx3!19sChIJTeTGN2090i0R4CcQw8HIhnM?authuser=0&hl=id&rclk=1,"4,7",Bali,"Edukasi, Anak",2975000,"Jl. Raya Pengosekan Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Unique bali tours
